,螟沥家疙,荐柯,荐家捞柯丑档,傈扁傈档档,侩粮魂家,醚蜡扁藕家,醚龙家,醚牢,努肺肺鞘,堪拳皋瓶坊,飘府努肺肺俊抛牢,荤堪拳藕家,飘府努肺肺俊瓶坊,抛飘扼努肺肺俊瓶坊,亥哩,喷风浚,俊瓶亥哩,磊老坊,磊老坊,堪拳皋瓶坊,飘府努肺肺俊抛牢,荤堪拳藕家,飘府努肺肺俊瓶坊,抛飘扼努肺肺俊瓶坊
2014-11-09,何咯,13.1,7.3,274.0,9.6,2.9,2.815,0.02,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-10,何咯,13.0,7.4,293.0,9.9,3.0,2.901,0.013,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-11,何咯,13.1,7.4,308.0,10.0,2.9,3.036,0.011,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-12,何咯,12.7,7.4,318.0,9.9,2.8,3.059,0.008,20.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-13,何咯,11.9,7.4,328.0,10.2,2.7,2.912,0.012,20.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-14,何咯,11.6,7.4,339.0,10.9,2.8,2.895,0.027,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-15,何咯,11.2,7.5,344.0,11.2,2.8,2.862,0.025,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-16,何咯,11.3,7.5,345.0,11.5,2.8,2.846,0.026,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-17,何咯,11.0,7.5,338.0,11.5,2.8,2.841,0.027,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-18,何咯,10.8,7.5,336.0,11.7,2.7,2.757,0.028,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-19,何咯,10.4,7.5,346.0,11.6,2.8,2.844,0.029,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-20,何咯,9.9,7.4,353.0,11.4,2.9,2.973,0.029,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-21,何咯,9.8,7.5,356.0,11.2,3.1,2.95,0.023,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-22,何咯,9.9,7.5,352.0,11.3,3.2,2.922,0.022,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-23,何咯,10.0,7.4,374.0,11.2,3.3,3.087,0.023,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-24,何咯,10.0,7.4,396.0,11.0,3.3,3.369,,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-25,何咯,9.9,7.4,374.0,11.0,3.1,3.278,,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-26,何咯,10.3,7.4,371.0,10.9,3.2,3.293,0.019,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-27,何咯,10.5,7.4,380.0,10.7,3.3,3.277,0.02,5.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-28,何咯,10.5,7.3,387.0,10.4,3.3,3.372,0.02,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-29,何咯,11.1,7.3,388.0,10.2,3.3,3.361,0.022,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-30,何咯,11.0,7.2,386.0,10.0,3.6,3.432,0.024,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,何咯,10.6,7.1,383.0,8.9,3.6,3.597,0.036,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-02,何咯,9.6,7.1,365.0,8.9,3.6,3.355,0.044,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-03,何咯,8.7,7.2,365.0,10.0,3.3,3.215,0.031,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-04,何咯,8.0,7.3,367.0,10.8,3.3,3.291,0.026,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-05,何咯,7.3,7.5,370.0,11.1,,3.495,0.02,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-06,何咯,6.4,7.4,377.0,11.2,3.3,3.554,0.024,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-07,何咯,5.6,7.4,355.0,11.5,3.1,3.422,0.022,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-08,何咯,5.3,7.4,344.0,11.9,2.9,3.275,0.018,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-09,何咯,5.1,7.4,345.0,12.1,2.6,3.365,0.014,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-10,何咯,5.0,7.4,363.0,12.2,2.5,3.715,0.013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-11,何咯,5.0,7.4,364.0,12.3,2.5,3.752,0.011,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-12,何咯,4.8,7.4,358.0,12.4,2.6,3.713,0.011,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-13,何咯,4.7,7.5,362.0,12.3,2.8,3.682,0.009,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-14,何咯,4.6,7.5,339.0,12.4,2.8,3.607,0.009,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-15,何咯,4.6,7.5,343.0,12.5,2.7,3.736,0.008,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-16,何咯,4.7,7.5,360.0,12.4,2.6,3.507,0.009,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-17,何咯,4.3,7.5,362.0,12.4,2.8,3.324,0.01,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-18,何咯,3.9,7.4,361.0,12.8,3.0,,,6.9,,,,,,,,,,,,,,,
2014-12-19,何咯,3.4,7.4,357.0,13.3,2.8,3.506,0.017,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,
2014-12-20,何咯,3.8,7.4,355.0,13.1,2.7,3.597,0.018,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-21,何咯,3.6,7.3,349.0,12.9,2.7,3.542,0.019,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-22,何咯,3.2,7.3,382.0,12.7,3.0,3.87,0.022,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-23,何咯,2.5,7.3,381.0,13.2,3.1,3.68,0.021,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
2014-12-24,何咯,2.9,7.3,365.0,13.4,2.9,3.475,0.016,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
2014-12-25,何咯,3.2,7.3,363.0,13.3,2.9,3.377,0.015,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
2014-12-26,何咯,3.4,7.3,370.0,13.2,3.0,3.351,0.014,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-27,何咯,3.3,7.4,380.0,13.3,3.1,3.448,0.013,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-28,何咯,3.3,7.4,361.0,13.4,2.9,3.322,0.012,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-29,何咯,3.9,7.3,355.0,13.3,2.9,3.415,0.012,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-30,何咯,4.2,7.3,364.0,13.1,2.9,3.621,0.011,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-31,何咯,4.1,7.4,379.0,13.0,2.8,3.77,0.013,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,何咯,3.7,7.4,369.0,13.2,2.9,3.574,0.012,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02,何咯,3.4,7.4,354.0,13.5,2.8,3.439,0.01,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-03,何咯,3.2,7.4,354.0,13.5,2.8,3.496,0.011,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-04,何咯,3.6,7.4,355.0,13.5,2.7,3.624,0.012,7.0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-05,何咯,3.8,7.4,347.0,13.4,2.7,3.644,0.012,7.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-06,何咯,4.1,7.4,338.0,13.2,2.6,3.586,0.014,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-07,何咯,3.4,7.5,345.0,12.4,2.7,3.451,0.021,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-08,何咯,2.9,7.5,358.0,11.2,2.8,3.476,0.016,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-09,何咯,2.7,7.5,373.0,,2.9,3.776,0.017,5.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-10,何咯,3.0,7.5,370.0,12.8,2.9,3.957,0.017,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-11,何咯,3.5,7.3,370.0,12.9,3.0,3.935,0.018,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-12,何咯,3.5,7.3,364.0,12.4,3.1,3.747,0.021,2.7,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-13,何咯,3.3,7.2,392.0,12.0,3.4,4.042,0.023,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-14,何咯,3.3,7.2,408.0,12.4,3.4,4.155,0.024,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-15,何咯,3.2,7.3,397.0,13.0,3.2,3.923,0.019,,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-16,何咯,3.2,7.5,382.0,13.3,3.1,3.759,0.014,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-17,何咯,3.5,7.5,376.0,13.3,3.0,3.637,0.013,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-18,何咯,3.4,7.4,373.0,13.6,2.8,3.662,0.013,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-19,何咯,3.6,7.4,367.0,13.7,2.8,3.686,0.012,,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-20,何咯,3.6,7.4,356.0,13.8,2.9,3.689,0.012,,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-21,何咯,3.8,7.3,365.0,13.5,3.1,3.752,0.017,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-22,何咯,4.1,7.3,375.0,13.5,3.1,3.859,0.022,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-23,何咯,4.2,7.4,378.0,12.9,3.1,3.831,0.025,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-24,何咯,4.4,7.5,380.0,13.1,3.1,3.818,0.026,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-25,何咯,4.4,7.4,378.0,13.3,3.2,3.859,0.025,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-26,何咯,4.9,7.4,363.0,12.9,3.1,3.83,0.025,7.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-27,何咯,5.1,7.3,364.0,12.5,3.2,3.768,0.026,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-28,何咯,4.8,7.4,384.0,12.2,3.5,3.723,0.023,7.9,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-29,何咯,4.9,7.4,396.0,12.4,3.5,3.799,0.024,8.9,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-30,何咯,4.8,7.3,422.0,13.4,3.6,3.999,0.026,10.5,,,,,,,,,,,,,,,
2015-01-31,何咯,4.4,7.5,396.0,14.3,3.5,3.653,0.026,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,何咯,4.3,7.6,376.0,14.8,3.4,3.465,0.024,12.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-02,何咯,4.4,7.6,378.0,14.4,3.5,3.519,0.022,11.6,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0
2015-02-03,何咯,4.4,7.6,375.0,13.9,3.5,3.838,0.022,10.8,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-04,何咯,4.1,7.6,366.0,14.3,3.4,3.812,0.021,9.7,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
2015-02-05,何咯,4.0,7.6,373.0,14.2,3.3,3.825,0.023,8.2,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
2015-02-06,何咯,4.2,7.6,356.0,14.2,3.3,3.679,0.023,6.4,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-07,何咯,4.2,7.6,366.0,14.2,3.4,3.736,0.027,6.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-08,何咯,3.8,7.5,397.0,13.9,3.6,4.044,0.03,5.6,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
2015-02-09,何咯,3.4,7.5,376.0,13.9,3.5,3.913,0.027,6.8,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-10,何咯,3.9,7.5,352.0,13.9,3.3,3.709,0.026,7.5,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-11,何咯,4.1,7.5,357.0,13.8,3.2,3.673,0.025,7.6,0.2,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0
2015-02-12,何咯,4.0,7.6,388.0,13.6,3.3,3.849,0.023,7.9,,,,,,,,,,,,,,,
2015-02-13,何咯,4.1,7.8,373.0,13.9,3.4,3.603,0.016,9.4,,,,,,,,,,,,,,,
2015-02-14,何咯,4.2,7.9,344.0,14.0,3.3,3.295,0.014,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-15,何咯,4.2,7.8,364.0,13.9,3.3,3.476,0.014,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-16,何咯,4.7,7.7,348.0,13.4,3.2,3.528,0.014,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-17,何咯,5.1,7.5,337.0,12.8,3.3,3.528,0.015,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-18,何咯,5.2,7.3,333.0,12.5,3.2,3.407,0.014,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2015-02-19,何咯,5.6,7.3,335.0,12.5,3.1,3.368,0.015,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-20,何咯,6.0,7.3,339.0,12.4,3.1,3.422,0.015,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-21,何咯,6.6,7.3,342.0,11.8,3.1,3.595,0.016,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-22,何咯,6.9,7.2,352.0,10.7,3.4,3.82,0.021,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
2015-02-23,何咯,7.0,7.1,350.0,10.0,3.7,4.186,0.031,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
2015-02-24,何咯,7.4,7.4,340.0,12.0,3.6,,0.027,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-25,何咯,10.7,7.5,324.0,12.0,3.6,3.483,0.021,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-26,何咯,7.5,7.5,324.0,13.0,3.5,3.388,0.023,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-27,何咯,7.4,7.6,315.0,13.2,3.3,3.197,0.022,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-28,何咯,7.2,7.7,333.0,13.1,3.4,3.524,0.024,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,何咯,7.2,7.7,333.0,13.2,3.4,,0.026,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-02,何咯,6.7,7.7,321.0,13.3,3.3,,0.023,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-03,何咯,7.0,7.8,322.0,13.1,3.2,,0.021,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-04,何咯,6.7,7.8,332.0,12.9,3.3,3.428,0.02,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-05,何咯,6.5,7.8,339.0,13.4,3.3,3.36,0.021,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-06,何咯,6.5,7.8,341.0,13.7,3.3,3.441,0.02,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-07,何咯,7.1,7.6,346.0,13.2,3.3,3.579,0.02,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-08,何咯,7.6,7.4,353.0,12.5,3.4,3.766,0.022,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-09,何咯,7.7,7.5,353.0,12.3,3.5,3.703,0.022,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-10,何咯,7.0,7.6,361.0,12.4,3.6,3.615,0.019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-11,何咯,6.8,7.8,379.0,13.1,3.6,3.974,0.022,22.1,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0
2015-03-12,何咯,7.0,8.3,347.0,14.6,3.3,3.635,0.025,35.4,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0
2015-03-13,何咯,7.5,8.3,316.0,14.2,3.1,3.415,0.024,35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-14,何咯,7.6,8.4,323.0,14.2,3.2,3.349,0.024,29.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-15,何咯,7.9,8.4,368.0,14.3,3.4,3.656,0.026,35.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-16,何咯,8.6,8.5,370.0,14.3,3.5,3.861,0.029,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-17,何咯,8.7,8.5,348.0,14.0,3.5,3.705,0.037,45.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-18,何咯,8.6,8.4,350.0,14.3,3.9,3.72,0.035,35.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2015-03-19,何咯,10.0,8.3,365.0,13.6,4.0,3.83,0.036,39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2015-03-20,何咯,11.3,8.1,366.0,13.3,4.1,3.707,0.037,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-21,何咯,11.9,7.9,353.0,12.9,4.0,3.681,0.037,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-22,何咯,11.7,7.7,333.0,11.9,4.0,3.486,0.039,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-23,何咯,11.4,7.6,345.0,11.2,4.4,3.559,0.045,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
2015-03-24,何咯,11.4,7.4,367.0,10.1,4.7,4.077,0.061,17.3,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.3,0
2015-03-25,何咯,12.4,8.1,332.0,12.5,4.0,3.75,0.078,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2015-03-26,何咯,12.5,8.2,330.0,13.0,3.8,3.372,0.07,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-27,何咯,12.3,8.3,324.0,13.1,3.6,3.243,0.059,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-28,何咯,12.4,8.6,323.0,13.7,3.7,3.317,0.052,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-29,何咯,12.4,8.6,335.0,12.8,3.7,3.355,0.047,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-30,何咯,13.0,8.8,335.0,13.1,3.9,3.311,0.043,26.4,,,,,,,,,,,,,,,
2015-03-31,何咯,12.7,8.7,324.0,13.9,4.0,3.213,0.042,26.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2015-04-01,何咯,12.7,8.5,317.0,13.1,3.7,3.168,0.04,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-02,何咯,13.5,8.4,332.0,12.8,3.6,3.368,0.046,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-03,何咯,13.9,8.2,329.0,11.8,3.6,3.454,0.049,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-04,何咯,14.0,7.7,347.0,10.5,4.0,3.682,0.05,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-05,何咯,13.6,7.4,326.0,9.6,4.0,3.87,0.055,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-06,何咯,13.1,7.4,294.0,9.6,3.6,3.435,0.047,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-07,何咯,12.9,7.3,328.0,9.4,4.0,3.541,0.05,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-08,何咯,12.9,7.4,311.0,10.4,3.6,3.308,0.045,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-09,何咯,12.9,7.4,304.0,10.7,3.4,3.317,0.047,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-10,何咯,12.9,7.4,293.0,11.1,3.5,3.545,0.055,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-11,何咯,13.6,8.0,274.0,13.1,3.2,3.228,0.052,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-12,何咯,13.1,8.1,252.0,13.4,3.0,3.154,0.044,27.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-13,何咯,12.9,8.2,256.0,13.2,3.1,3.294,0.043,39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-14,何咯,12.8,8.1,,12.4,2.9,3.359,0.042,33.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-15,何咯,13.3,8.1,296.0,12.4,3.0,3.254,0.032,27.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-16,何咯,13.2,8.1,296.0,12.3,3.0,3.139,0.033,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-17,何咯,12.8,8.3,294.0,12.8,3.2,3.174,0.037,28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-18,何咯,12.5,8.6,282.0,13.8,3.2,3.184,0.038,34.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-19,何咯,12.9,8.4,294.0,13.1,3.2,3.428,0.036,34.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-20,何咯,13.2,8.1,297.0,12.2,3.1,3.425,0.04,32.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-21,何咯,13.3,8.1,285.0,11.8,3.1,3.129,0.04,26.8,,,,,,,,,,,,,,,
2015-04-22,何咯,13.7,8.1,296.0,12.3,3.2,3.025,0.036,26.6,,,,,,,,,,,,,,,
2015-04-23,何咯,14.4,8.1,301.0,12.6,3.4,3.107,0.04,33.4,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.2
2015-04-24,何咯,15.1,8.3,280.0,12.9,3.3,3.01,0.045,38.4,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1
