,ÃøÁ¤¼Ò¸í,¼ö¿Â,¼ö¼ÒÀÌ¿Â³óµµ,Àü±âÀüµµµµ,¿ëÁ¸»ê¼Ò,Å¹µµ,ÃÑÀ¯±âÅº¼Ò,Å¬·Î·ÎÇÊ,¿°È­¸ÞÆ¿·»,Æ®¸®Å¬·Î·Î¿¡Å×ÀÎ,»ç¿°È­Åº¼Ò,Æ®¸®Å¬·Î·Î¿¡Æ¿·»,Å×Æ®¶óÅ¬·Î·Î¿¡Æ¿·»,º¥Á¨,Åç·ç¿£,¿¡Æ¿º¥Á¨,ÀÚÀÏ·»,ÀÚÀÏ·»,¿°È­¸ÞÆ¿·»,Æ®¸®Å¬·Î·Î¿¡Å×ÀÎ,»ç¿°È­Åº¼Ò,Æ®¸®Å¬·Î·Î¿¡Æ¿·»,Å×Æ®¶óÅ¬·Î·Î¿¡Æ¿·»
2014-01-20,Ä¥¼­,2.8,8.5,338.0,12.3,,,16.1,,,,,,,,,,,,,,,
2014-01-21,Ä¥¼­,2.9,8.2,316.0,12.7,,,12.7,,,,,,,,,,,,,,,
2014-01-22,Ä¥¼­,3.1,8.2,351.0,13.5,,,13.0,,,,,,,,,,,,,,,
2014-01-23,Ä¥¼­,3.6,8.1,356.0,13.8,,,11.8,,,,,,,,,,,,,,,
2014-01-24,Ä¥¼­,3.3,8.0,343.0,13.8,,,10.3,,,,,,,,,,,,,,,
2014-01-25,Ä¥¼­,3.9,7.9,301.0,13.6,,,9.5,,,,,,,,,,,,,,,
2014-01-26,Ä¥¼­,3.9,7.9,363.0,13.6,,,11.4,,,,,,,,,,,,,,,
2014-01-27,Ä¥¼­,3.9,8.0,,13.6,,,11.6,,,,,,,,,,,,,,,
2014-01-28,Ä¥¼­,4.8,7.9,,,,,8.7,,,,,,,,,,,,,,,
2014-01-29,Ä¥¼­,5.0,8.0,366.0,,,,11.5,,,,,,,,,,,,,,,
2014-01-30,Ä¥¼­,5.2,8.0,365.0,13.3,,,20.3,,,,,,,,,,,,,,,
2014-01-31,Ä¥¼­,5.6,8.0,356.0,13.4,,,22.5,,,,,,,,,,,,,,,
2014-02-01,Ä¥¼­,6.2,8.1,344.0,13.6,,,28.4,,,,,,,,,,,,,,,
2014-02-02,Ä¥¼­,7.5,8.1,329.0,13.3,,,38.1,,,,,,,,,,,,,,,
2014-02-03,Ä¥¼­,7.7,8.0,317.0,13.2,,,42.5,,,,,,,,,,,,,,,
2014-02-04,Ä¥¼­,6.9,8.1,319.0,13.3,,,27.8,,,,,,,,,,,,,,,
2014-02-05,Ä¥¼­,6.0,8.3,361.0,13.9,,,37.9,,,,,,,,,,,,,,,
2014-02-06,Ä¥¼­,5.2,8.3,321.0,13.9,,,34.1,,,,,,,,,,,,,,,
2014-02-07,Ä¥¼­,5.1,8.2,299.0,13.9,,,31.3,,,,,,,,,,,,,,,
2014-02-08,Ä¥¼­,5.2,8.1,286.0,13.8,,,31.3,,,,,,,,,,,,,,,
2014-02-09,Ä¥¼­,5.4,8.3,322.0,14.0,,,35.5,,,,,,,,,,,,,,,
2014-02-10,Ä¥¼­,5.4,8.1,274.0,13.5,,,23.5,,,,,,,,,,,,,,,
2014-02-11,Ä¥¼­,5.4,8.2,285.0,13.2,,,25.2,,,,,,,,,,,,,,,
2014-02-12,Ä¥¼­,5.5,8.4,344.0,13.5,,,36.3,,,,,,,,,,,,,,,
2014-02-13,Ä¥¼­,5.2,8.4,357.0,13.7,,,39.2,,,,,,,,,,,,,,,
2014-02-14,Ä¥¼­,5.1,8.0,270.0,13.1,,,23.4,,,,,,,,,,,,,,,
2014-02-15,Ä¥¼­,5.2,8.4,365.0,13.9,,,39.4,,,,,,,,,,,,,,,
2014-02-16,Ä¥¼­,5.5,8.7,429.0,14.4,,,49.3,,,,,,,,,,,,,,,
2014-02-17,Ä¥¼­,5.6,8.4,356.0,13.8,,,39.3,,,,,,,,,,,,,,,
2014-02-18,Ä¥¼­,6.1,8.0,269.0,12.5,,,20.0,,,,,,,,,,,,,,,
2014-02-19,Ä¥¼­,5.8,8.3,335.0,13.3,,,38.0,,,,,,,,,,,,,,,
2014-02-20,Ä¥¼­,6.2,8.5,363.0,13.7,,,43.6,,,,,,,,,,,,,,,
2014-02-21,Ä¥¼­,6.1,8.7,396.0,13.9,,,45.1,,,,,,,,,,,,,,,
2014-02-22,Ä¥¼­,6.4,8.6,387.0,13.2,,,42.1,,,,,,,,,,,,,,,
2014-02-23,Ä¥¼­,6.9,8.6,387.0,12.3,,,42.2,,,,,,,,,,,,,,,
2014-02-24,Ä¥¼­,6.9,8.6,407.0,12.6,,,43.7,,,,,,,,,,,,,,,
2014-02-25,Ä¥¼­,7.4,8.6,412.0,12.8,,,41.1,,,,,,,,,,,,,,,
2014-02-26,Ä¥¼­,7.0,8.6,426.0,12.0,,,55.9,,,,,,,,,,,,,,,
2014-02-27,Ä¥¼­,8.1,8.5,414.0,11.7,,,46.2,,,,,,,,,,,,,,,
2014-02-28,Ä¥¼­,8.6,8.4,373.0,12.4,,,41.1,,,,,,,,,,,,,,,
2014-03-01,Ä¥¼­,9.6,8.0,265.0,12.2,,,27.3,,,,,,,,,,,,,,,
2014-03-02,Ä¥¼­,9.5,8.3,367.0,12.8,,,36.7,,,,,,,,,,,,,,,
2014-03-03,Ä¥¼­,9.3,8.6,438.0,12.9,,,45.3,,,,,,,,,,,,,,,
2014-03-04,Ä¥¼­,9.0,8.5,396.0,12.8,,,42.8,,,,,,,,,,,,,,,
2014-03-05,Ä¥¼­,8.9,8.6,424.0,13.9,,,40.5,,,,,,,,,,,,,,,
2014-03-06,Ä¥¼­,8.7,8.5,413.0,13.2,,,38.6,,,,,,,,,,,,,,,
2014-03-07,Ä¥¼­,8.4,8.5,436.0,13.1,,,39.0,,,,,,,,,,,,,,,
2014-03-08,Ä¥¼­,8.8,8.5,442.0,13.2,,,34.7,,,,,,,,,,,,,,,
2014-03-09,Ä¥¼­,8.5,8.6,465.0,13.6,,,37.4,,,,,,,,,,,,,,,
2014-03-10,Ä¥¼­,,,,,,,33.2,,,,,,,,,,,,,,,
2014-03-11,Ä¥¼­,,,,,,,32.7,,,,,,,,,,,,,,,
2014-03-12,Ä¥¼­,,,,,,,38.1,,,,,,,,,,,,,,,
2014-03-13,Ä¥¼­,,,,,,,35.0,,,,,,,,,,,,,,,
2014-03-14,Ä¥¼­,,,,,,,34.8,,,,,,,,,,,,,,,
2014-03-15,Ä¥¼­,8.6,8.2,506.0,11.7,,,40.7,,,,,,,,,,,,,,,
2014-03-16,Ä¥¼­,9.3,8.5,550.0,11.3,,,49.8,,,,,,,,,,,,,,,
2014-03-17,Ä¥¼­,9.7,8.5,542.0,11.4,,,50.0,,,,,,,,,,,,,,,
2014-03-18,Ä¥¼­,10.7,8.6,543.0,11.5,,,49.4,,,,,,,,,,,,,,,
2014-03-19,Ä¥¼­,11.7,8.6,489.0,11.9,,,51.0,,,,,,,,,,,,,,,
2014-03-20,Ä¥¼­,11.9,8.6,520.0,11.9,,,50.8,,,,,,,,,,,,,,,
2014-03-21,Ä¥¼­,11.9,8.6,519.0,12.3,,,47.4,,,,,,,,,,,,,,,
2014-03-22,Ä¥¼­,11.2,8.7,595.0,13.0,,,50.5,,,,,,,,,,,,,,,
2014-03-23,Ä¥¼­,11.9,8.7,569.0,13.0,,,42.7,,,,,,,,,,,,,,,
2014-03-24,Ä¥¼­,12.1,8.6,560.0,12.8,,,38.5,,,,,,,,,,,,,,,
2014-03-25,Ä¥¼­,13.2,8.7,485.0,12.1,,,37.9,,,,,,,,,,,,,,,
2014-03-26,Ä¥¼­,13.3,8.4,440.0,11.1,,,35.7,,,,,,,,,,,,,,,
2014-03-27,Ä¥¼­,13.4,8.3,447.0,11.0,,,30.4,,,,,,,,,,,,,,,
2014-03-28,Ä¥¼­,13.1,8.2,500.0,11.3,,,32.4,,,,,,,,,,,,,,,
2014-03-29,Ä¥¼­,14.5,7.9,438.0,10.3,,,25.6,,,,,,,,,,,,,,,
2014-03-30,Ä¥¼­,14.7,7.6,446.0,9.5,,,15.1,,,,,,,,,,,,,,,
2014-03-31,Ä¥¼­,15.0,7.5,423.0,8.9,,,10.2,,,,,,,,,,,,,,,
2014-04-01,Ä¥¼­,14.8,7.6,410.0,9.1,,,11.6,,,,,,,,,,,,,,,
2014-04-02,Ä¥¼­,15.0,7.7,398.0,10.0,,3.3,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-03,Ä¥¼­,15.7,7.8,402.0,10.1,,3.3,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-04,Ä¥¼­,15.4,7.9,417.0,10.0,,3.5,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-05,Ä¥¼­,14.6,8.0,463.0,9.7,,3.6,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-06,Ä¥¼­,14.6,8.0,459.0,10.0,,3.7,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-07,Ä¥¼­,15.1,8.1,471.0,10.4,,3.7,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-08,Ä¥¼­,15.5,8.2,423.0,10.9,,3.3,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-09,Ä¥¼­,16.3,8.4,407.0,11.1,,3.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-10,Ä¥¼­,16.9,8.5,367.0,11.3,,3.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-11,Ä¥¼­,16.6,8.3,359.0,11.0,,3.1,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-12,Ä¥¼­,16.0,8.4,424.0,11.3,,3.4,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-13,Ä¥¼­,16.2,8.2,382.0,10.7,,3.2,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-14,Ä¥¼­,17.4,8.4,323.0,10.5,,3.1,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-15,Ä¥¼­,16.3,8.1,386.0,10.1,,3.2,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-16,Ä¥¼­,17.0,8.4,341.0,10.7,,3.2,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-17,Ä¥¼­,17.5,8.3,353.0,10.1,,3.2,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-18,Ä¥¼­,17.2,8.0,323.0,9.2,,3.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-19,Ä¥¼­,16.5,7.9,304.0,9.4,,2.9,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-20,Ä¥¼­,17.0,7.9,292.0,9.7,,2.7,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-21,Ä¥¼­,17.6,8.2,290.0,10.3,,2.9,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-22,Ä¥¼­,18.3,7.9,284.0,10.4,,2.9,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-23,Ä¥¼­,19.3,8.0,302.0,9.6,,2.9,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-24,Ä¥¼­,20.1,8.4,273.0,10.5,,3.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-25,Ä¥¼­,19.6,8.2,313.0,10.0,,3.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-26,Ä¥¼­,19.1,8.1,334.0,9.8,,3.1,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-27,Ä¥¼­,19.2,7.9,317.0,9.0,,2.9,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-28,Ä¥¼­,18.7,7.6,265.0,8.2,,2.9,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-29,Ä¥¼­,17.2,7.3,225.0,7.4,,2.7,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-30,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2014-05-01,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2014-05-02,Ä¥¼­,,,,,,,,,,,,,,,,,,,,,,
2014-05-03,Ä¥¼­,20.0,7.4,307.0,7.9,,2.8,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-04,Ä¥¼­,19.5,7.4,336.0,7.8,,2.8,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-05,Ä¥¼­,19.1,7.4,292.0,8.2,,2.8,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-06,Ä¥¼­,19.3,7.4,243.0,8.4,,2.7,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-07,Ä¥¼­,19.2,7.4,229.0,8.5,,2.8,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-08,Ä¥¼­,19.8,7.4,227.0,8.5,,2.9,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-09,Ä¥¼­,20.4,7.6,220.0,8.9,,3.0,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-10,Ä¥¼­,21.0,7.6,181.0,8.8,,2.9,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-11,Ä¥¼­,21.3,7.7,180.0,8.9,,3.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-12,Ä¥¼­,21.2,7.5,193.0,8.5,,3.2,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-13,Ä¥¼­,21.2,7.3,181.0,7.4,,3.3,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-14,Ä¥¼­,21.1,7.3,199.0,7.3,,3.6,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-15,Ä¥¼­,21.4,7.4,195.0,7.9,,2.8,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-16,Ä¥¼­,22.6,7.9,209.0,9.2,,2.6,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-17,Ä¥¼­,23.2,8.1,190.0,9.6,,2.6,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-18,Ä¥¼­,24.1,8.4,190.0,9.9,,2.7,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-19,Ä¥¼­,24.7,8.7,190.0,9.9,,2.8,115.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-20,Ä¥¼­,24.3,8.7,203.0,8.9,,2.7,76.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-21,Ä¥¼­,24.5,8.8,241.0,9.0,,3.0,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-22,Ä¥¼­,24.4,8.7,230.0,8.5,,2.8,35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-23,Ä¥¼­,24.5,8.9,213.0,9.0,,2.6,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-24,Ä¥¼­,23.9,8.6,241.0,9.5,,2.7,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-25,Ä¥¼­,23.9,8.3,252.0,8.9,,2.8,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-26,Ä¥¼­,24.1,8.2,246.0,8.5,,2.8,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-27,Ä¥¼­,24.0,8.2,279.0,8.5,,3.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-28,Ä¥¼­,24.5,8.4,256.0,8.5,,3.2,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-29,Ä¥¼­,25.5,8.6,250.0,8.4,,3.3,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-30,Ä¥¼­,25.5,8.4,276.0,8.3,,3.5,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-31,Ä¥¼­,25.6,8.6,274.0,8.9,,3.8,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,Ä¥¼­,26.2,8.6,277.0,8.9,,3.8,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-02,Ä¥¼­,25.6,8.4,279.0,8.0,,3.5,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-03,Ä¥¼­,24.8,7.6,249.0,5.8,,3.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-04,Ä¥¼­,24.3,7.7,260.0,7.0,,3.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-05,Ä¥¼­,23.5,7.7,277.0,7.7,,3.1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-06,Ä¥¼­,24.0,7.9,238.0,8.4,,3.0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-07,Ä¥¼­,24.1,7.7,263.0,7.8,,3.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-08,Ä¥¼­,24.6,8.1,274.0,8.4,,3.1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-09,Ä¥¼­,24.7,8.4,251.0,8.9,,3.7,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-10,Ä¥¼­,24.8,8.5,251.0,8.9,,3.7,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-11,Ä¥¼­,24.9,8.7,294.0,9.8,,4.2,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Ä¥¼­,24.8,8.4,247.0,8.9,,3.6,66.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Ä¥¼­,24.4,7.8,291.0,7.7,,3.6,55.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Ä¥¼­,25.0,7.7,269.0,7.9,,4.2,65.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Ä¥¼­,25.9,7.9,275.0,8.7,,4.2,94.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-16,Ä¥¼­,26.3,8.0,250.0,8.6,,3.5,75.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-17,Ä¥¼­,26.1,8.5,271.0,9.3,,3.2,54.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-18,Ä¥¼­,26.9,8.5,218.0,8.9,,3.4,68.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-19,Ä¥¼­,26.7,8.5,246.0,9.0,,3.7,77.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-20,Ä¥¼­,26.2,8.8,303.0,9.7,,3.7,66.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-21,Ä¥¼­,25.8,8.6,287.0,8.6,,3.3,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-22,Ä¥¼­,25.9,8.3,289.0,7.9,,3.4,60.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-23,Ä¥¼­,25.1,8.2,323.0,7.6,,3.5,76.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-24,Ä¥¼­,24.8,8.3,321.0,7.9,,3.6,83.0,,,,,,,,,,,,,,,
2014-06-25,Ä¥¼­,25.2,7.8,339.0,6.6,,3.2,50.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-26,Ä¥¼­,25.4,7.7,364.0,6.1,,3.3,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-27,Ä¥¼­,26.4,7.9,366.0,7.2,,3.5,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-28,Ä¥¼­,27.0,8.5,333.0,8.5,,3.7,107.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-29,Ä¥¼­,27.1,8.1,329.0,7.4,,3.6,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-30,Ä¥¼­,27.7,8.2,304.0,7.7,,3.4,95.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,Ä¥¼­,28.3,7.8,332.0,6.2,,3.4,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-02,Ä¥¼­,28.1,8.3,301.0,6.8,,3.6,93.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-03,Ä¥¼­,26.6,7.9,364.0,5.7,,3.2,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-04,Ä¥¼­,26.2,7.5,293.0,5.9,,3.3,97.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-05,Ä¥¼­,26.1,7.5,261.0,6.6,,3.2,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-06,Ä¥¼­,25.6,7.3,290.0,5.7,,3.1,86.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-07,Ä¥¼­,25.3,7.3,288.0,6.3,,3.2,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-08,Ä¥¼­,25.2,7.5,333.0,6.9,,3.5,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-09,Ä¥¼­,25.9,7.6,345.0,7.1,,3.7,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
