,螟沥家疙,荐柯,荐家捞柯丑档,傈扁傈档档,侩粮魂家,殴档,醚蜡扁藕家,醚龙家,醚牢,努肺肺鞘
2014-12-23,咯林,2.9,7.9,265.0,13.3,1.5,2.2,3.24,0.004,3.0
2014-12-24,咯林,3.9,7.7,270.0,13.0,1.5,2.2,3.46,0.004,3.8
2014-12-25,咯林,4.5,7.8,266.0,12.6,1.5,2.2,3.283,0.004,5.7
2014-12-26,咯林,3.8,7.8,262.0,13.0,1.7,2.2,3.257,0.005,4.3
2014-12-27,咯林,3.5,7.9,263.0,13.2,2.0,2.2,3.319,0.008,3.0
2014-12-28,咯林,3.5,7.9,266.0,13.1,2.0,2.2,3.463,0.007,3.5
2014-12-29,咯林,3.9,7.8,267.0,12.9,1.9,2.2,3.639,0.008,3.6
2014-12-30,咯林,4.8,7.8,255.0,12.3,1.7,2.2,3.404,0.007,5.7
2014-12-31,咯林,4.9,8.0,255.0,12.4,1.7,2.2,3.422,0.006,4.6
2015-01-01,咯林,3.7,7.9,255.0,12.4,1.6,2.2,3.332,0.006,4.2
2015-01-02,咯林,2.5,7.9,249.0,13.2,1.4,2.3,3.313,0.006,2.5
2015-01-03,咯林,2.6,7.9,246.0,14.1,1.3,2.3,3.338,0.005,1.7
2015-01-04,咯林,2.9,8.0,251.0,14.5,1.3,2.2,3.536,0.006,2.1
2015-01-05,咯林,3.5,7.9,257.0,14.4,1.3,2.2,3.779,0.007,1.9
2015-01-06,咯林,4.2,8.0,247.0,14.2,1.3,,3.672,0.006,3.2
2015-01-07,咯林,3.8,8.1,244.0,14.1,1.6,,3.443,0.006,5.0
2015-01-08,咯林,,,,,,,,,
2015-01-09,咯林,2.6,7.9,248.0,12.8,1.5,2.3,3.579,0.007,5.4
2015-01-10,咯林,2.8,7.9,253.0,12.8,1.5,2.3,3.736,0.006,13.4
2015-01-11,咯林,3.2,7.9,254.0,12.9,1.5,2.3,3.778,0.006,17.9
2015-01-12,咯林,3.2,7.9,251.0,12.8,1.4,2.3,3.59,0.006,17.0
2015-01-13,咯林,2.7,7.9,250.0,13.0,1.3,2.3,,0.006,14.2
2015-01-14,咯林,3.3,7.9,250.0,13.1,1.4,2.4,,0.007,4.6
2015-01-15,咯林,3.9,7.9,249.0,12.6,1.4,2.4,,0.007,5.6
2015-01-16,咯林,4.4,7.9,242.0,12.3,1.4,2.3,,0.006,7.6
2015-01-17,咯林,3.4,7.7,245.0,12.0,1.5,2.4,2.678,0.006,8.4
2015-01-18,咯林,,,,,,,,,
2015-01-19,咯林,3.2,8.0,247.0,13.1,1.4,2.4,2.863,0.006,3.3
2015-01-20,咯林,3.8,8.0,247.0,12.5,1.5,2.4,2.835,0.007,3.7
2015-01-21,咯林,3.9,8.0,248.0,12.4,1.4,2.4,2.822,0.007,4.2
2015-01-22,咯林,4.5,8.0,246.0,11.9,1.4,2.3,2.821,0.008,4.5
2015-01-23,咯林,4.9,7.9,241.0,11.6,1.5,2.3,2.498,0.007,4.9
2015-01-24,咯林,4.5,7.9,244.0,12.0,1.5,2.4,2.36,0.007,4.3
2015-01-25,咯林,4.8,8.0,243.0,12.1,1.6,2.4,2.349,0.006,5.2
2015-01-26,咯林,4.8,7.8,244.0,11.8,1.6,2.4,2.428,0.006,5.1
2015-01-27,咯林,5.1,7.7,243.0,11.5,1.9,2.3,2.362,0.008,5.6
2015-01-28,咯林,4.0,7.9,246.0,12.1,1.6,2.4,2.421,0.009,3.5
2015-01-29,咯林,3.3,7.9,252.0,12.6,1.6,2.5,2.68,0.01,2.7
2015-01-30,咯林,3.8,7.9,248.0,12.5,1.7,2.4,2.671,0.01,2.3
2015-01-31,咯林,3.8,8.0,243.0,12.5,1.6,2.4,2.443,0.008,2.7
2015-02-01,咯林,2.9,7.9,248.0,12.7,1.4,2.5,2.495,0.008,2.0
2015-02-02,咯林,2.9,7.9,250.0,12.8,1.3,2.5,2.533,0.008,2.0
2015-02-03,咯林,3.2,7.9,250.0,12.7,1.4,2.4,2.591,0.008,2.5
2015-02-04,咯林,3.4,8.0,248.0,12.7,1.3,2.3,2.598,0.007,2.1
2015-02-05,咯林,3.7,8.0,247.0,12.6,1.5,2.3,2.627,0.008,2.5
2015-02-06,咯林,3.9,7.9,242.0,12.5,1.4,2.4,,0.006,2.8
2015-02-07,咯林,4.1,8.0,241.0,12.9,1.4,2.4,,0.005,3.2
2015-02-08,咯林,3.6,7.9,242.0,13.0,1.8,2.4,,0.006,4.0
2015-02-09,咯林,1.9,7.9,245.0,13.1,1.7,2.4,,0.005,3.5
2015-02-10,咯林,2.3,8.0,242.0,12.7,1.5,2.3,,0.006,3.6
2015-02-11,咯林,3.6,7.9,248.0,12.5,1.6,2.3,3.05,0.006,4.1
2015-02-12,咯林,4.0,7.9,245.0,12.4,1.9,2.3,3.04,0.006,3.9
2015-02-13,咯林,3.0,8.0,243.0,12.7,1.9,2.3,2.932,0.006,2.6
2015-02-14,咯林,2.7,7.9,247.0,13.0,1.5,2.4,2.971,0.006,2.1
2015-02-15,咯林,3.2,7.9,252.0,13.0,1.7,2.4,3.08,0.007,2.7
2015-02-16,咯林,4.6,8.0,246.0,13.0,1.7,2.4,3.074,0.007,5.5
2015-02-17,咯林,5.1,7.8,245.0,12.1,2.2,2.4,3.016,0.009,6.4
2015-02-18,咯林,4.8,7.8,251.0,12.3,2.6,2.6,3.08,0.01,6.8
2015-02-19,咯林,4.7,7.9,245.0,12.5,2.1,2.7,2.959,0.011,6.4
2015-02-20,咯林,5.3,7.9,247.0,12.8,2.1,2.6,2.949,0.01,6.2
2015-02-21,咯林,5.8,8.0,247.0,12.8,2.0,2.5,3.028,0.009,8.1
2015-02-22,咯林,6.0,7.8,248.0,12.2,2.3,2.4,3.127,0.01,8.8
2015-02-23,咯林,5.9,7.7,253.0,12.1,3.0,2.5,3.057,0.015,4.8
2015-02-24,咯林,5.8,7.9,250.0,12.8,2.5,2.4,2.972,0.016,3.8
2015-02-25,咯林,6.0,8.0,247.0,13.0,2.1,2.3,2.902,0.013,3.7
2015-02-26,咯林,6.7,7.9,247.0,12.8,2.1,2.3,2.903,0.013,4.2
2015-02-27,咯林,6.1,7.9,249.0,12.7,2.2,2.3,2.833,0.013,4.0
2015-02-28,咯林,5.0,8.0,247.0,13.6,1.8,2.2,2.757,0.011,3.4
2015-03-01,咯林,5.3,7.9,243.0,13.5,1.8,2.2,2.8,0.011,3.4
2015-03-02,咯林,5.8,7.9,242.0,13.2,1.8,2.2,2.794,0.012,4.9
2015-03-03,咯林,6.1,8.0,241.0,13.3,1.9,2.1,2.834,0.01,5.7
2015-03-04,咯林,5.6,7.9,240.0,13.0,2.3,2.1,2.79,0.01,4.9
2015-03-05,咯林,4.4,8.0,242.0,13.5,1.7,2.1,2.683,0.008,4.1
2015-03-06,咯林,4.9,8.0,242.0,13.3,1.5,2.1,2.686,0.009,3.4
2015-03-07,咯林,6.0,8.0,241.0,12.7,1.5,2.2,2.812,0.009,3.7
2015-03-08,咯林,6.5,8.0,241.0,12.6,1.6,2.2,2.836,0.009,4.3
2015-03-09,咯林,7.0,8.0,242.0,12.4,2.1,2.1,2.878,0.01,5.2
2015-03-10,咯林,6.0,8.0,242.0,12.1,2.3,2.1,2.731,0.01,6.1
2015-03-11,咯林,4.1,8.0,242.0,12.7,2.0,2.0,2.794,0.009,5.9
2015-03-12,咯林,4.7,8.0,243.0,12.6,2.1,2.1,2.814,0.01,6.1
2015-03-13,咯林,5.8,8.0,242.0,12.6,1.9,2.2,2.803,0.009,6.8
2015-03-14,咯林,6.6,8.0,244.0,12.4,1.9,2.2,2.755,0.008,6.8
2015-03-15,咯林,6.7,8.0,246.0,12.5,2.1,2.1,2.851,0.009,6.6
2015-03-16,咯林,7.2,8.0,245.0,12.4,2.3,2.2,2.83,0.008,5.4
2015-03-17,咯林,7.7,8.0,244.0,12.3,2.6,2.1,2.844,,6.7
2015-03-18,咯林,7.7,7.9,243.0,11.8,2.4,2.0,2.899,,7.2
2015-03-19,咯林,7.7,7.7,243.0,11.4,2.9,2.1,2.743,,6.0
2015-03-20,咯林,9.5,7.8,243.0,11.5,3.9,2.2,2.801,0.092,7.2
2015-03-21,咯林,9.6,7.8,240.0,11.3,2.7,2.2,2.793,0.083,7.9
2015-03-22,咯林,9.7,7.9,235.0,11.3,2.4,2.1,2.695,0.081,8.1
2015-03-23,咯林,9.1,7.9,238.0,11.3,2.7,2.2,2.622,0.07,8.4
2015-03-24,咯林,8.8,7.9,244.0,11.6,2.9,2.2,2.663,0.059,7.9
2015-03-25,咯林,9.2,7.9,242.0,11.7,2.5,2.2,2.606,0.055,7.0
2015-03-26,咯林,9.4,7.9,241.0,11.7,2.3,2.2,2.594,0.049,6.3
2015-03-27,咯林,9.6,7.9,244.0,11.5,2.1,2.2,2.693,0.043,6.2
2015-03-28,咯林,9.8,8.0,246.0,11.4,2.2,2.2,2.752,0.041,7.0
2015-03-29,咯林,10.5,8.0,247.0,11.2,2.1,2.1,2.781,0.041,8.4
2015-03-30,咯林,10.9,8.0,247.0,11.0,2.0,2.1,2.725,0.048,8.7
2015-03-31,咯林,11.1,8.0,249.0,10.6,2.0,2.1,2.64,0.055,10.5
2015-04-01,咯林,10.5,7.8,248.0,10.6,2.2,2.1,2.692,0.05,11.3
2015-04-02,咯林,10.6,7.9,249.0,11.5,2.6,2.1,2.814,0.045,11.0
2015-04-03,咯林,11.9,7.7,247.0,10.5,23.0,2.4,2.936,0.073,12.6
2015-04-04,咯林,12.1,7.3,236.0,9.7,40.7,3.5,3.521,0.157,16.0
2015-04-05,咯林,11.5,7.5,231.0,10.6,6.2,2.6,3.196,0.066,12.5
2015-04-06,咯林,11.5,7.5,234.0,10.5,4.4,2.5,3.103,0.055,14.1
2015-04-07,咯林,10.7,7.6,241.0,10.9,3.8,2.3,2.859,0.046,9.3
2015-04-08,咯林,10.4,7.7,239.0,11.4,3.5,2.2,2.785,0.038,8.6
2015-04-09,咯林,10.8,7.7,239.0,11.6,3.4,2.2,2.694,0.035,8.9
2015-04-10,咯林,11.7,7.7,233.0,11.5,3.3,2.3,2.668,0.033,8.6
2015-04-11,咯林,12.1,7.8,235.0,11.5,2.7,2.2,2.575,0.03,7.2
2015-04-12,咯林,12.5,7.8,237.0,11.5,3.0,2.2,2.528,0.029,9.5
2015-04-13,咯林,11.4,7.8,240.0,11.1,2.9,2.1,2.51,0.021,8.3
2015-04-14,咯林,11.0,7.8,239.0,10.9,2.8,2.1,2.588,0.014,12.9
2015-04-15,咯林,10.8,7.8,241.0,11.2,3.5,2.2,,,15.2
2015-04-16,咯林,11.3,7.9,247.0,11.0,3.3,,,,15.3
2015-04-17,咯林,11.0,7.9,248.0,11.0,3.1,,,,12.8
2015-04-18,咯林,12.8,8.0,245.0,10.8,2.6,,,,10.4
2015-04-19,咯林,13.0,7.8,246.0,10.5,2.7,,,,11.0
2015-04-20,咯林,,,,,,,,,14.8
2015-04-21,咯林,,,,,,,,,14.0
2015-04-22,咯林,,,,,,,,,10.4
2015-04-23,咯林,,,,,,,,,8.2
2015-04-24,咯林,,,,,,,,,7.2
2015-04-25,咯林,14.9,7.9,234.0,11.3,3.1,2.3,2.646,,6.5
2015-04-26,咯林,15.1,8.0,237.0,11.4,2.9,2.2,2.597,,7.1
2015-04-27,咯林,15.8,8.1,237.0,10.9,2.6,2.2,2.589,,6.1
2015-04-28,咯林,16.1,8.1,238.0,10.2,2.6,2.1,2.611,,6.9
2015-04-29,咯林,15.8,7.9,239.0,9.5,2.4,2.1,2.566,,6.8
2015-04-30,咯林,15.5,7.8,240.0,9.3,2.4,2.1,2.495,,7.6
2015-05-01,咯林,17.0,8.1,242.0,9.2,2.3,2.1,2.475,0.025,5.5
2015-05-02,咯林,18.1,8.1,241.0,8.5,2.5,2.0,2.424,0.024,6.5
2015-05-03,咯林,16.9,7.9,243.0,8.1,2.6,2.1,2.433,0.022,6.1
2015-05-04,咯林,15.9,7.8,245.0,8.7,2.7,2.1,2.477,0.024,5.1
2015-05-05,咯林,15.8,8.0,244.0,8.2,2.7,2.1,2.516,0.022,4.8
2015-05-06,咯林,15.5,8.0,247.0,8.0,2.4,2.2,2.484,0.021,4.9
2015-05-07,咯林,15.2,7.9,245.0,7.9,2.5,2.1,2.491,0.024,4.1
2015-05-08,咯林,15.4,7.9,245.0,7.6,2.1,2.1,2.475,0.027,3.7
2015-05-09,咯林,15.9,8.0,248.0,7.6,2.4,2.1,2.512,0.027,4.4
2015-05-10,咯林,17.5,8.0,246.0,7.3,2.2,2.1,2.41,0.026,4.4
2015-05-11,咯林,17.1,7.9,246.0,7.1,2.3,2.1,2.465,0.028,3.5
2015-05-12,咯林,16.0,7.8,245.0,7.6,2.4,2.1,2.599,0.027,3.3
2015-05-13,咯林,16.7,7.8,248.0,8.2,3.7,2.5,2.483,0.031,9.5
2015-05-14,咯林,17.9,7.8,254.0,8.2,3.4,2.7,2.617,0.042,7.6
2015-05-15,咯林,18.9,7.7,252.0,8.3,2.9,2.4,2.648,0.057,6.2
2015-05-16,咯林,18.0,7.5,251.0,7.9,3.0,2.2,2.597,0.055,4.2
2015-05-17,咯林,17.8,7.7,252.0,8.6,2.5,2.2,2.588,0.052,3.0
2015-05-18,咯林,17.3,7.8,251.0,8.8,2.9,2.1,2.637,0.051,3.2
2015-05-19,咯林,16.6,7.7,251.0,8.6,3.1,2.1,2.63,0.05,3.0
2015-05-20,咯林,16.3,7.6,253.0,8.2,2.4,2.1,2.652,0.049,1.9
2015-05-21,咯林,17.2,7.8,253.0,8.7,,2.3,2.556,0.042,1.8
2015-05-22,咯林,18.5,8.0,252.0,8.9,2.2,2.3,2.519,0.026,2.4
2015-05-23,咯林,19.6,8.0,252.0,8.5,2.1,2.2,2.513,0.025,2.2
2015-05-24,咯林,20.0,8.0,252.0,8.6,2.1,2.1,2.514,0.024,2.5
2015-05-25,咯林,20.2,8.0,250.0,8.5,2.2,2.1,2.466,0.025,2.5
2015-05-26,咯林,21.0,8.0,250.0,8.4,2.4,2.1,2.409,0.026,3.3
2015-05-27,咯林,21.6,8.0,250.0,8.5,2.5,2.1,2.391,0.018,3.2
2015-05-28,咯林,21.6,8.1,250.0,8.8,2.6,2.2,2.373,0.01,1.9
2015-05-29,咯林,22.1,8.1,251.0,8.8,2.3,2.2,2.365,0.008,2.6
2015-05-30,咯林,21.6,7.9,252.0,8.4,2.4,2.2,2.32,0.007,4.2
2015-05-31,咯林,21.8,7.6,252.0,7.4,2.4,2.2,2.296,0.013,2.1
2015-06-01,咯林,21.2,7.7,254.0,8.5,2.5,2.2,2.303,0.01,1.0
2015-06-02,咯林,21.8,8.0,253.0,9.3,2.3,2.2,2.202,0.016,2.6
2015-06-03,咯林,22.1,8.1,252.0,9.2,2.7,2.4,1.958,0.03,3.8
2015-06-04,咯林,23.1,7.8,251.0,8.6,2.9,2.3,1.812,0.031,3.1
2015-06-05,咯林,21.8,7.8,251.0,8.8,3.0,2.3,1.818,0.032,3.5
2015-06-06,咯林,22.1,7.8,250.0,9.0,3.1,2.3,1.772,0.032,2.2
2015-06-07,咯林,22.3,7.7,253.0,9.0,2.7,2.3,1.745,0.028,5.7
2015-06-08,咯林,23.1,8.6,254.0,12.0,2.6,2.3,1.726,0.013,15.3
2015-06-09,咯林,23.4,9.0,251.0,13.5,3.3,2.3,1.61,0.013,22.6
2015-06-10,咯林,24.5,9.1,249.0,13.6,4.1,2.4,1.488,0.015,27.3
2015-06-11,咯林,24.9,9.1,246.0,13.4,7.9,2.5,1.501,0.023,34.5
2015-06-12,咯林,25.1,9.0,247.0,13.2,4.3,2.9,1.516,0.035,33.4
2015-06-13,咯林,25.1,8.8,248.0,12.8,5.1,3.2,1.485,0.036,32.9
2015-06-14,咯林,25.5,8.5,257.0,11.2,5.0,3.3,1.516,0.037,28.1
2015-06-15,咯林,25.7,8.3,264.0,10.6,5.3,3.3,1.579,0.037,21.7
2015-06-16,咯林,26.4,8.7,264.0,10.9,6.3,3.4,1.56,0.04,27.4
2015-06-17,咯林,,,,,,,,,
2015-06-18,咯林,,,,,,,,,
2015-06-19,咯林,26.9,8.6,261.0,14.5,7.6,2.9,1.454,0.047,34.1
2015-06-20,咯林,25.7,8.2,268.0,12.0,21.1,2.8,1.434,0.046,30.7
2015-06-21,咯林,25.3,7.6,263.0,10.1,55.4,2.8,1.505,0.047,17.7
2015-06-22,咯林,25.0,8.2,254.0,,38.8,3.0,1.689,0.057,28.3
2015-06-23,咯林,26.3,9.0,252.0,,59.7,3.4,1.59,0.062,44.3
2015-06-24,咯林,27.5,9.0,250.0,14.2,131.6,3.3,1.474,0.061,47.1
2015-06-25,咯林,26.8,8.8,254.0,12.1,37.7,3.0,1.482,0.057,41.9
2015-06-26,咯林,25.3,7.9,260.0,7.8,4.4,2.9,1.575,0.058,20.5
2015-06-27,咯林,24.2,7.7,257.0,8.4,7.0,3.3,1.614,0.07,18.7
2015-06-28,咯林,24.7,7.7,251.0,8.7,4.7,3.2,1.687,0.06,14.0
2015-06-29,咯林,26.4,8.3,252.0,9.2,3.7,,1.582,0.054,14.1
2015-06-30,咯林,26.6,8.3,253.0,8.8,3.6,2.7,1.496,0.041,17.6
2015-07-01,咯林,25.8,7.7,253.0,7.8,3.6,2.5,1.53,0.041,14.0
2015-07-02,咯林,25.5,7.9,251.0,9.4,3.5,2.5,1.431,0.038,20.2
2015-07-03,咯林,25.6,8.2,250.0,10.7,3.7,2.5,1.258,0.03,28.6
2015-07-04,咯林,26.1,8.4,247.0,,4.1,2.5,1.212,0.027,30.3
2015-07-05,咯林,26.6,8.6,243.0,12.9,3.7,2.5,1.192,0.028,34.6
2015-07-06,咯林,27.1,8.5,242.0,10.7,3.9,2.4,1.162,0.031,34.1
2015-07-07,咯林,,,,,,2.4,1.128,,34.5
2015-07-08,咯林,26.2,8.0,237.0,8.2,3.9,2.3,,,23.3
2015-07-09,咯林,25.5,7.8,240.0,7.1,3.1,2.2,,,11.3
2015-07-10,咯林,25.9,8.2,239.0,8.9,3.0,2.1,1.607,0.028,12.9
2015-07-11,咯林,27.4,9.0,238.0,11.6,3.4,2.0,1.661,0.023,27.0
2015-07-12,咯林,27.4,8.9,236.0,10.4,3.5,,1.747,0.021,35.1
2015-07-13,咯林,26.5,7.9,238.0,6.9,3.7,,1.907,,18.1
2015-07-14,咯林,25.7,7.9,246.0,6.9,2.4,2.3,1.895,,15.3
2015-07-15,咯林,26.6,9.0,254.0,11.2,1.6,2.4,1.769,,57.6
2015-07-16,咯林,27.1,9.3,249.0,11.2,1.7,2.4,1.65,0.107,62.2
2015-07-17,咯林,26.7,9.0,245.0,9.6,1.5,2.4,1.672,0.099,43.3
2015-07-18,咯林,26.5,8.7,240.0,8.6,0.5,2.3,1.68,0.094,26.6
2015-07-19,咯林,26.2,8.9,231.0,8.9,0.2,2.2,1.633,0.088,20.6
2015-07-20,咯林,26.9,8.6,229.0,7.9,1.1,2.1,1.612,0.078,15.3
2015-07-21,咯林,27.0,8.1,229.0,6.9,1.9,2.1,1.667,0.071,9.7
2015-07-22,咯林,27.6,8.4,233.0,8.0,2.2,2.1,,0.058,15.3
2015-07-23,咯林,28.0,8.1,242.0,7.6,2.3,2.1,,0.037,10.9
2015-07-24,咯林,26.7,7.6,219.0,5.7,42.3,2.6,,0.071,17.3
2015-07-25,咯林,25.1,7.2,165.0,4.7,76.7,3.6,3.005,0.166,9.5
2015-07-26,咯林,25.4,7.3,168.0,5.6,12.4,2.8,2.58,0.111,4.7
2015-07-27,咯林,26.8,7.4,172.0,6.2,6.3,2.6,2.741,0.112,4.7
2015-07-28,咯林,27.5,7.5,192.0,6.3,4.7,2.7,2.616,0.104,7.1
2015-07-29,咯林,27.5,7.5,196.0,6.4,8.3,2.7,2.755,,5.9
2015-07-30,咯林,26.6,7.1,154.0,4.9,109.5,3.6,3.233,0.196,5.8
2015-07-31,咯林,29.3,7.3,164.0,6.1,21.0,3.3,3.024,0.163,6.2
2015-08-01,咯林,29.6,7.5,193.0,7.0,8.1,2.8,2.703,0.114,9.1
2015-08-02,咯林,28.9,7.5,203.0,6.2,14.5,2.6,2.571,0.098,7.1
2015-08-03,咯林,26.4,7.1,156.0,5.8,77.8,3.4,3.107,0.208,6.5
2015-08-04,咯林,28.1,7.3,164.0,6.7,21.8,3.3,3.27,0.202,5.5
2015-08-05,咯林,29.2,7.5,191.0,7.6,8.9,2.9,3.04,0.142,7.1
2015-08-06,咯林,30.0,8.0,208.0,8.4,5.3,2.8,2.687,0.104,12.4
2015-08-07,咯林,31.0,8.5,219.0,10.3,3.8,2.7,2.513,0.095,28.6
2015-08-08,咯林,31.0,8.9,222.0,10.6,4.2,2.7,2.315,0.077,42.9
2015-08-09,咯林,30.1,7.8,218.0,7.3,13.8,2.9,2.35,0.1,28.6
2015-08-10,咯林,28.8,7.6,212.0,6.8,12.4,,2.561,0.129,23.9
2015-08-11,咯林,28.4,8.0,224.0,7.1,5.3,3.0,2.384,0.088,16.8
2015-08-12,咯林,28.7,8.6,229.0,9.2,4.3,2.8,,0.068,27.9
2015-08-13,咯林,28.5,9.1,232.0,10.9,4.7,2.7,1.797,0.054,45.8
2015-08-14,咯林,28.9,9.1,236.0,11.0,3.9,2.5,1.754,0.051,41.9
2015-08-15,咯林,28.9,9.1,236.0,11.4,5.0,2.5,1.647,0.047,60.6
2015-08-16,咯林,28.5,8.7,239.0,9.4,6.7,2.5,1.677,0.048,80.9
2015-08-17,咯林,28.4,8.2,245.0,7.8,7.0,2.4,1.753,0.06,50.6
2015-08-18,咯林,28.0,8.3,243.0,8.9,6.0,2.4,1.706,0.057,28.1
2015-08-19,咯林,27.9,8.3,239.0,9.2,7.7,2.5,1.67,0.057,20.6
2015-08-20,咯林,27.7,8.1,241.0,8.5,12.4,2.4,1.664,0.053,21.1
2015-08-21,咯林,27.3,8.1,242.0,8.5,18.8,2.2,1.675,0.052,13.2
2015-08-22,咯林,26.9,8.1,242.0,9.2,,2.2,1.663,0.048,18.6
2015-08-23,咯林,27.2,8.4,244.0,10.2,,2.3,1.63,0.051,26.1
2015-08-24,咯林,27.4,8.8,247.0,11.8,,2.5,1.552,0.046,35.8
2015-08-25,咯林,26.3,8.3,248.0,9.7,6.3,2.6,1.643,0.067,21.5
2015-08-26,咯林,25.8,8.4,249.0,10.1,5.9,2.4,1.549,0.102,18.1
2015-08-27,咯林,25.1,8.7,252.0,11.5,4.7,2.5,1.581,0.092,33.7
2015-08-28,咯林,25.4,8.8,250.0,11.0,4.0,2.6,1.623,0.092,28.7
2015-08-29,咯林,25.8,8.8,253.0,10.9,3.3,2.4,1.592,0.085,23.1
2015-08-30,咯林,26.5,8.9,250.0,11.7,3.5,2.5,1.471,0.081,30.8
2015-08-31,咯林,27.2,8.9,250.0,11.2,4.0,2.5,1.412,0.081,36.7
2015-09-01,咯林,27.0,8.8,251.0,10.2,8.3,2.5,1.372,0.077,31.4
2015-09-02,咯林,26.6,8.3,254.0,8.1,25.5,2.4,1.365,0.072,13.2
2015-09-03,咯林,26.2,8.2,257.0,8.1,,2.3,1.41,0.068,10.5
2015-09-04,咯林,26.4,8.3,260.0,8.5,,2.3,1.42,0.062,10.8
2015-09-05,咯林,25.7,8.5,259.0,9.2,,2.3,1.445,0.06,19.0
2015-09-06,咯林,25.4,8.0,259.0,7.7,,2.2,1.475,0.064,13.8
2015-09-07,咯林,24.3,8.0,258.0,7.8,,2.2,1.419,0.063,12.5
2015-09-08,咯林,24.4,8.7,259.0,10.2,,2.3,1.302,0.058,22.3
2015-09-09,咯林,23.9,8.8,258.0,10.5,,2.4,1.275,0.057,27.3
2015-09-10,咯林,24.2,9.0,255.0,10.9,,2.5,1.31,0.051,23.5
2015-09-11,咯林,23.6,9.0,253.0,10.4,,2.4,1.374,0.04,22.1
2015-09-12,咯林,23.2,8.6,253.0,9.0,,2.3,1.39,0.039,19.2
2015-09-13,咯林,23.2,8.4,255.0,8.8,,2.3,1.361,0.038,15.0
2015-09-14,咯林,23.1,8.6,259.0,9.8,5.5,2.3,1.342,0.035,16.5
2015-09-15,咯林,22.6,8.7,257.0,9.8,4.4,,1.365,0.034,19.4
2015-09-16,咯林,23.0,8.8,254.0,9.8,3.0,,1.541,0.034,18.2
2015-09-17,咯林,23.2,8.5,257.0,9.2,2.5,2.5,1.554,0.032,10.1
2015-09-18,咯林,23.4,8.6,255.0,9.7,2.6,2.6,1.695,0.029,9.2
2015-09-19,咯林,23.4,8.5,256.0,9.4,2.0,2.4,2.519,0.027,7.8
2015-09-20,咯林,23.5,8.5,259.0,9.3,1.8,2.3,2.543,0.027,7.9
2015-09-21,咯林,23.8,8.5,260.0,9.4,1.9,2.4,2.431,0.029,8.2
2015-09-22,咯林,23.8,8.6,259.0,9.7,2.6,2.4,2.367,0.026,10.0
2015-09-23,咯林,22.9,8.5,258.0,9.4,3.1,2.3,2.454,0.024,11.7
2015-09-24,咯林,23.3,8.5,260.0,9.5,3.4,2.4,2.457,0.022,10.5
2015-09-25,咯林,23.1,8.8,261.0,10.3,,2.6,2.019,0.023,22.3
2015-09-26,咯林,22.9,8.6,261.0,9.2,,2.7,1.753,0.022,19.1
2015-09-27,咯林,23.0,8.5,260.0,8.7,,2.6,1.707,0.02,16.5
2015-09-28,咯林,22.8,8.4,261.0,8.4,,2.5,2.273,0.018,17.4
2015-09-29,咯林,22.9,8.4,260.0,8.5,,2.5,2.872,0.017,18.0
2015-09-30,咯林,22.1,8.2,261.0,8.4,,2.5,2.891,0.02,13.9
2015-10-01,咯林,21.6,8.0,261.0,8.1,6.1,2.4,3.2,0.024,7.3
2015-10-02,咯林,20.4,7.9,262.0,7.5,5.0,2.4,3.128,0.029,3.4
2015-10-03,咯林,19.3,8.1,265.0,8.8,4.8,2.4,3.086,0.028,10.6
2015-10-04,咯林,19.4,8.5,272.0,10.2,3.5,2.6,3.035,0.026,14.3
2015-10-05,咯林,19.5,8.2,271.0,9.5,3.1,2.7,3.077,0.023,8.2
2015-10-06,咯林,19.6,8.3,267.0,9.7,2.9,2.6,3.098,0.023,6.0
2015-10-07,咯林,19.8,8.5,268.0,10.0,2.4,2.6,3.053,,10.8
2015-10-08,咯林,20.2,8.6,270.0,9.3,2.0,2.7,,,13.5
2015-10-09,咯林,20.1,8.3,274.0,8.3,2.1,2.7,2.806,,9.8
2015-10-10,咯林,19.2,7.9,276.0,7.2,3.6,2.5,2.813,,4.3
2015-10-11,咯林,18.1,7.9,274.0,7.1,4.2,2.5,2.78,,2.8
2015-10-12,咯林,16.8,7.9,274.0,7.2,3.2,2.6,2.358,,2.7
2015-10-13,咯林,16.3,7.9,275.0,7.8,2.2,2.6,1.876,0.027,3.0
2015-10-14,咯林,16.9,8.1,278.0,8.5,1.4,2.5,1.952,,3.7
2015-10-15,咯林,17.7,8.2,277.0,8.6,1.4,2.6,2.003,,4.0
2015-10-16,咯林,18.2,8.2,276.0,8.6,1.6,2.6,2.233,,4.6
2015-10-17,咯林,18.5,8.1,276.0,8.3,1.7,2.6,2.224,0.021,3.5
2015-10-18,咯林,18.7,8.0,273.0,8.2,1.8,2.6,2.339,0.019,3.5
2015-10-19,咯林,18.8,8.0,269.0,8.1,2.8,2.5,2.519,0.02,3.0
2015-10-20,咯林,18.7,7.9,265.0,7.7,2.6,2.4,2.517,0.022,1.8
2015-10-21,咯林,18.8,7.9,266.0,7.5,2.2,2.4,2.17,0.023,0.9
2015-10-22,咯林,18.7,7.9,265.0,7.5,2.6,2.4,2.011,0.023,1.0
2015-10-23,咯林,18.7,7.9,266.0,7.5,2.8,2.4,1.956,0.022,1.0
2015-10-24,咯林,18.6,7.9,264.0,7.3,3.0,2.2,1.911,0.02,0.9
2015-10-25,咯林,18.2,7.8,263.0,7.3,3.5,2.2,,0.02,0.7
